date,forecasted_quantity,Residuals,final_forecast
2022-12-01,14804.333636384365,-0.08384687511043831,14804.249789509255
2023-01-01,16727.333372424124,-0.08395805105323781,16727.24941437307
2023-02-01,15915.333475837482,0.19953583113926376,15915.533011668622
2023-03-01,16552.33315036421,-0.048652256507392536,16552.284498107703
2023-04-01,15415.33364059175,-0.04869950515082674,15415.2849410866
2023-05-01,15869.666736305884,0.07178250757783175,15869.738518813461
2023-06-01,15669.00006746902,-0.03369490203568959,15668.966372566983
2023-07-01,16243.333375017795,-0.03371498222795204,16243.299660035567
2023-08-01,16238.666744167975,0.017488646149791395,16238.684232814125
2023-09-01,15861.333356133175,-0.027338178716266804,15861.30601795446
2023-10-01,16505.33361773238,-0.02734671259347448,16505.30627101979
2023-11-01,17557.66655732128,-0.005585692009009972,17557.660971629273
